Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred
32,17,21.197245,92.139289,5.8,2020,30.0,50.0,19.5,9.5,7.2,5.8,Soil or Earth,Fall,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0,1
33,17,21.197594,92.138322,6.4,2020,40.0,62.0,12.1,10.9,9.6,6.4,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0,1
34,17,21.193316,92.145555,1.7,2020,18.0,36.0,4.5,3.0,2.0,1.7,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.513206959163058,6.595472304323296,6.69936893768308,2.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.39169883728028,161.0,1
35,17,21.192213,92.14554,3.8,2020,18.0,38.0,13.0,8.2,6.0,3.8,Soil or Earth,Fall,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,161.0,1
36,18,21.191775,92.149041,5.5,2020,20.0,30.0,8.6,9.0,7.5,5.5,Soil or Earth,Slide,Active,Advancing,Successive,6.339278468367474,6.42124058419111,6.524804420104004,1.0,4.0,1328.79541015625,1604.7974853515625,2036.9674072265625,21.07076072692871,161.0,1
37,18,21.191907,92.149136,5.0,2020,20.0,38.0,7.0,10.0,7.5,5.0,Soil or Earth,Fall,Active,Advancing,Successive,6.515369705920962,6.597331821744598,6.700895646731704,1.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,21.07076072692871,161.0,1
38,18,21.191816,92.149505,4.1,2020,20.0,42.0,4.3,8.4,5.8,4.1,Soil or Earth,Slide,Active,Advancing,Successive,6.339278468367474,6.12021058852713,6.223774424440022,2.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,24.0,161.0,1
39,18,21.187977,92.147786,2.3,2020,24.0,32.0,20.3,8.0,5.1,2.3,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.640308431778164,6.42124058419111,6.524804420104004,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.0,161.0,1
40,18,21.192159,92.149587,1.0,2020,18.0,40.0,4.5,5.0,2.0,1.0,Soil or Earth,Slide,Active,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,26.0,161.0,1
41,18,21.189326,92.147043,2.3,2020,22.0,46.0,13.7,5.5,4.5,2.3,Soil or Earth,Fall,Active,"Advancing, Enlarging, Widening",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,7.0,1328.79541015625,1604.7974853515625,2036.9674072265625,20.0,161.0,1
42,18,21.189096,92.146231,6.5,2020,28.0,44.0,6.7,15.0,12.5,6.5,Soil or Earth,Complex,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.0,161.0,1
43,18,21.188944,92.147269,2.3,2020,24.0,35.0,20.0,7.5,5.5,2.3,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,2.0,1328.79541015625,1604.7974853515625,2036.9674072265625,20.07076072692871,161.0,1
44,18,21.185431,92.149369,8.0,2020,30.0,70.0,25.0,16.0,10.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,6.640308431778164,6.7222705476018,6.825834383340004,2.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,15.290843963623049,161.0,1
45,18,21.185112,92.148899,15.0,2020,38.0,50.0,35.0,24.4,30.0,15.0,Soil or Earth,Complex,Reactivated,Advancing,Successive,7.079641140269014,7.16160325609265,7.265167100754252,2.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,15.149324417114258,161.0,1
46,18,21.187025,92.151168,22.0,2020,46.0,54.0,80.0,30.6,40.0,22.0,Soil or Earth,Complex,Reactivated,Advancing,Successive,6.339278468367474,6.597331821744598,6.700895646731704,2.0,4.0,1328.79541015625,1604.7974853515625,2036.9674072265625,17.0,371.0,1
47,18,21.186603,92.150665,12.0,2020,30.0,45.0,35.0,26.0,15.0,13.0,Soil or Earth,Slide,Reactivated,Advancing,Successive,6.339278468367474,6.42124058419111,6.524804420104004,2.0,3.0,1328.79541015625,1604.7974853515625,2036.9674072265625,15.262313842773438,371.0,1
48,18,21.188497,92.148852,8.0,2020,38.0,60.0,18.0,13.0,12.0,8.0,Soil or Earth,Slide,Active,Advancing,Successive,6.339278468367474,6.12021058852713,6.223774424440022,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.241592407226562,161.0,1
49,18,21.189551,92.150556,2.0,2020,30.0,45.0,12.0,4.0,3.0,2.0,Soil or Earth,Slide,Reactivated,Advancing,Complex,6.640308464031454,6.722270579855092,6.825834415767984,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,17.262317657470703,161.0,1
50,12,21.181916,92.150142,3.5,2020,22.0,40.0,5.0,10.0,7.0,3.5,Soil or Earth,Fall,Active,"Advancing, Enlarging, Widening",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,3.0,1328.79541015625,1604.7974853515625,2036.9674072265625,22.0,161.0,1
51,12,21.182394,92.149359,4.6,2020,21.0,42.0,9.9,11.3,9.4,4.6,Soil or Earth,Slide,Active,Advancing,Successive,6.339278468367474,6.42124058419111,6.524804420104004,1.0,7.0,1328.79541015625,1604.7974853515625,2036.9674072265625,17.0,161.0,1
52,12,21.18219,92.148931,21.0,2019,32.0,60.0,17.0,38.0,30.0,21.0,Soil or Earth,Complex,Active,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,18.0,161.0,1
53,12,21.182502,92.150202,5.0,2020,24.0,44.0,8.0,12.0,10.0,5.0,Soil or Earth,Fall,Active,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,2.0,7.0,1328.79541015625,1604.7974853515625,2036.9674072265625,21.0,161.0,1
54,12,21.18252,92.151834,6.0,2020,70.0,40.0,10.0,20.0,15.0,6.0,Soil or Earth,Fall,Active,Advancing,Successive,6.339278468367474,6.42124058419111,6.524804420104004,1.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,22.0,371.0,1
55,12,21.182394,92.152177,2.3,2020,19.0,45.0,9.0,7.0,5.0,2.3,Soil or Earth,Fall,Active,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,2.0,1328.79541015625,1604.7974853515625,2036.9674072265625,22.0,161.0,1
56,12,21.184377,92.148323,30.0,2020,36.0,55.0,120.0,51.0,105.0,30.0,Soil or Earth,Complex,Active,Advancing,Successive,7.152191800200106,7.234153916023742,7.33771776427456,1.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,15.007804870605469,161.0,1
57,12,21.184489,92.149925,15.0,2018,40.0,70.0,25.0,23.3,30.0,15.0,Soil or Earth,Complex,Active,Advancing,Successive,6.339278468367474,6.42124058419111,6.524804420104004,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,15.308012008666992,161.0,1
58,12,21.184136,92.150783,12.0,2019,42.0,55.0,22.0,17.9,18.0,12.0,Soil or Earth,Complex,Active,Advancing,Successive,6.515369705920962,6.597331821744598,6.700895646731704,2.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,15.4124174118042,371.0,1
59,19,21.181609,92.147133,3.9,2017,15.0,55.0,11.3,12.0,7.0,3.9,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,3.0,1328.79541015625,1604.7974853515625,2036.9674072265625,21.0,161.0,1
60,19,21.182073,92.147172,8.800000000000002,2020,16.0,70.0,12.0,12.3,10.5,8.800000000000002,Soil or Earth,Slide,Active,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,20.0,161.0,1
61,19,21.186267,92.142888,10.0,2020,26.0,52.0,21.5,22.0,16.0,10.0,Soil or Earth,Complex,Active,"Advancing, Widening",Successive,6.73505571738029,6.817321062540532,6.92121767862152,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,16.0,161.0,1
62,19,21.185877,92.143148,5.6,2020,20.0,44.0,7.3,12.5,11.4,5.6,Soil or Earth,Fall,Active,Advancing,Successive,6.33711572160957,6.41938106676981,6.523277689474792,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,16.0,161.0,1
63,19,21.185588,92.143183,2.3,2020,17.0,37.0,11.0,8.0,6.0,2.3,Soil or Earth,Fall,Stabilized,Advancing,Successive,6.33711572160957,6.41938106676981,6.523277689474792,2.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,17.0,161.0,1
64,19,21.185436,92.140939,50.0,2020,30.0,50.0,120.0,100.0,100.0,50.0,Soil or Earth,Complex,Active,Advancing,Successive,6.939175712937532,7.021441058097772,7.125337680802754,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,18.0,161.0,1
65,19,21.181606,92.144052,8.0,2020,38.0,50.0,20.0,13.0,13.0,8.0,Soil or Earth,Slide,Reactivated,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,7.0,1328.79541015625,1604.7974853515625,2036.9674072265625,17.0,161.0,1
66,13,21.180329,92.140987,2.2,2020,18.0,40.0,7.0,7.0,5.0,2.2,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0,1
67,13,21.180252,92.139044,5.0,2020,25.0,60.0,7.0,8.0,7.0,5.0,Soil or Earth,Complex,Active,"Advancing, Enlarging, Widening",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,161.0,1
68,13,21.180582,92.139328,6.0,2020,18.0,38.0,42.0,18.0,15.0,6.0,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.33711572160957,6.41938106676981,6.523277689474792,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,161.0,1
69,13,21.181057,92.139112,4.5,2020,20.0,42.0,9.3,4.5,9.1,12.5,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.33711572160957,6.41938106676981,6.523277689474792,2.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,161.0,1
70,13,21.179899,92.139481,7.5,2020,18.0,45.0,9.9,16.4,15.5,7.5,Soil or Earth,Slide,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,2.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,161.0,1
