FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_
387,388,"Manikchari, On Road",Active,Wet,Debris,Nil,Nil,Rangamati,388,Flow,13/06/2017,Advancing,0,0,Low,46,Rainfall
388,389,"Manikchari, On Road",Active,Wet,Soil,Nil,Nil,Rangamati,389,Flow,13/06/2017,Advancing,0,0,Low,24,Rainfall
389,390,"Manikchari, On Road",Active,Wet,Debris,Nil,Nil,Rangamati,390,Flow,13/06/2017,Advancing,0,0,Low,38,Rainfall
390,391,"Manikchari, On Road",Active,Wet,Debris,Nil,Nil,Rangamati,391,Flow,13/06/2017,Advancing,0,0,Low,20,Rainfall
391,392,"Manikchari, On Road",Active,Wet,Debris,Nil,Nil,Rangamati,392,Fall,13/06/2017,Advancing,0,0,Low,82,Rainfall
392,393,"Manikchari, On Road",Active,Wet,Debris,Nil,Nil,Rangamati,393,Fall,13/06/2017,Advancing,0,0,Low,29,Rainfall
393,394,"Manikchari, On Road",Active,Wet,Soil,High,High,Rangamati,394,Flow,13/06/2017,Advancing,0,0,Nil,59,Rainfall
394,395,"Manikchari, On Road",Active,Wet,Debris,Low,Nil,Rangamati,395,Flow,13/06/2017,Advancing,0,0,Nil,295,Rainfall
395,396,"Rupnagar, Manikchari",Active,Wet,Debris,Medium,Medium,Rangamati,396,Flow,13/06/2017,Advancing,0,1,Medium,70,Rainfall and Jhum Cultivation
396,397,"Rupnagar, Manikchari",Active,Wet,Debris,Low,Low,Rangamati,397,Flow,13/06/2017,Advancing,0,0,Low,47,Rainfall
397,398,"Manikchari, On Road",Active,Wet,Debris,Medium,Medium,Rangamati,398,Complex,13/06/2017,Advancing,0,0,Nil,40,Rainfall
398,399,"Manikchari, On Road",Active,Wet,Debris,Medium,Medium,Rangamati,399,Complex,13/06/2017,Advancing,0,0,Nil,32,Rainfall
399,400,"Manikchari, On Road",Active,Wet,Debris,Medium,Medium,Rangamati,400,Complex,13/06/2017,Advancing,0,0,Nil,95,Rainfall
400,401,"Manikchari, On Road",Active,Wet,Debris,Medium,Medium,Rangamati,401,Complex,13/06/2017,Advancing,0,0,Nil,44,Rainfall
401,402,"Rupnagar, Manikchari",Active,Wet,Debris,Low,Low,Rangamati,402,Flow,13/06/2017,Advancing,0,0,Low,27,Rainfall
402,403,"TV Center, Manikchari",Active,Wet,Debris,High,High,Rangamati,403,Complex,13/06/2017,Advancing,0,0,Nil,38,Rainfall
403,404,"TV Center, Manikchari",Active,Wet,Debris,High,High,Rangamati,404,Complex,13/06/2017,Advancing,0,0,Nil,29,Rainfall
404,405,"Anandabihar, Tabalchari",Active,Wet,Debris,Low,Medium,Rangamati,405,Flow,13/06/2017,Advancing,0,2,Medium,25,Rainfall
405,406,"Anandabihar, Tabalchari",Active,Wet,Debris,Nil,Low,Rangamati,406,Flow,13/06/2017,Advancing,0,0,Nil,30,Rianfall
406,407,"Police Line, Sadar",Active,Wet,Debris,Nil,Medium,Rangamati,407,Flow,13/06/207,Advancing,0,4,High,28,Rainfall
407,408, , , , , , ,Rangamati,408,Unrecognized,2014, ,0,0, ,8935, 
408,409, , , , , , ,Rangamati,409,Unrecognized,2014, ,0,0, ,871, 
409,410, , , , , , ,Rangamati,410,Unrecognized,2016, ,0,0, ,651, 
410,411, , , , , , ,Rangamati,411,Unrecognized,2014, ,0,0, ,226, 
411,412, , , , , , ,Rangamati,412,Unrecognized,2014, ,0,0, ,1884, 
412,413, , , , , , ,Rangamati,413,Slide,2014, ,0,0, ,534, 
413,414, , , , , , ,Rangamati,414,Slide,2014, ,0,0, ,677, 
414,415, , , , , , ,Rangamati,415,Flow,2014, ,0,0, ,305, 
415,416, , , , , , ,Rangamati,416,Slide,2014, ,0,0, ,613, 
416,417, , , , , , ,Rangamati,417,Flow,2014, ,0,0, ,345, 
417,418, , , , , , ,Rangamati,418,Unrecognized,2014, ,0,0, ,935, 
418,419, , , , , , ,Rangamati,419,Unrecognized,2012, ,0,0, ,242, 
419,420, , , , , , ,Rangamati,420,Unrecognized,2014, ,0,0, ,426, 
420,421, , , , , , ,Rangamati,421,Unrecognized,2014, ,0,0, ,12334, 
421,422, , , , , , ,Rangamati,422,Unrecognized,2014, ,0,0, ,635, 
422,423, , , , , , ,Rangamati,423,Unrecognized,2014, ,0,0, ,790, 
423,424, , , , , , ,Rangamati,424,Slide,2011, ,0,0, ,57913, 
424,425, , , , , , ,Rangamati,425,Slide,2014, ,0,0, ,17143, 
425,426, , , , , , ,Rangamati,426,Flow,2011, ,0,0, ,17200, 
426,427, , , , , , ,Rangamati,427,Flow,2011, ,0,0, ,14354, 
427,428, , , , , , ,Rangamati,428,Flow,2011, ,0,0, ,12605, 
428,429, , , , , , ,Rangamati,429,Unrecognized,2011, ,0,0, ,13751, 
429,430, , , , , , ,Rangamati,430,Unrecognized,2011, ,0,0, ,11039, 
430,431, , , , , , ,Rangamati,431,Unrecognized,2011, ,0,0, ,15416, 
431,432, , , , , , ,Rangamati,432,Unrecognized,2011, ,0,0, ,11185, 
432,433, , , , , , ,Rangamati,433,Unrecognized,2014, ,0,0, ,40385, 
433,434, , , , , , ,Rangamati,434,Unrecognized,2014, ,0,0, ,8920, 
