Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
65,19,21.181606,92.144052,8.00,2020,38,50,20.0,13.0,13.0,8.0,Soil or Earth,Slide,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,
66,13,21.180329,92.140987,2.20,2020,18,40,7.0,7.0,5.0,2.2,Soil or Earth,Earth Flow,Active,Advancing,Successive,,,,,,,,,,,,,,,
67,13,21.180252,92.139044,5.00,2020,25,60,7.0,8.0,7.0,5.0,Soil or Earth,Complex,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
68,13,21.180582,92.139328,6.00,2020,18,38,42.0,18.0,15.0,6.0,Soil or Earth,Earth Flow,Active,Advancing,Successive,,,,,,,,,,,,,,,
69,13,21.181057,92.139112,4.50,2020,20,42,9.3,4.5,9.1,12.5,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
70,13,21.179899,92.139481,7.50,2020,18,45,9.9,16.4,15.5,7.5,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
71,13,21.179551,92.141002,3.90,2020,25,41,20.0,9.5,8.4,3.9,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,
72,13,21.179959,92.139346,12.00,2020,48,60,15.0,16.1,22.0,12.0,Soil or Earth,Slide,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,
73,13,21.180073,92.137928,18.00,2020,70,45,30.0,19.2,27.0,18.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
74,13,21.179806,92.139079,15.00,2018,70,15,45.0,16.0,20.0,15.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
75,13,21.179759,92.138198,15.00,2020,55,40,32.0,18.3,20.0,15.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
76,9,21.192636,92.156608,5.80,2020,22,44,17.0,13.5,12.0,5.8,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
77,9,21.192500,92.157062,7.00,2020,32,50,16.0,14.8,13.0,7.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
78,9,21.192122,92.157098,6.20,2020,28,50,13.0,12.5,10.0,6.2,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
