Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MonthlyRainfall
2004,7,0.0,12.0,0.0,13.0,31.0,44.0,8.0,99.0,4.0,115.0,46.0,54.0,0.0,0.0,28.0,82.0,34.0,14.0,4.0,66.0,74.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,1.0,3.0,1.0,751.0
2004,8,0.0,0.0,0.0,14.0,53.0,38.0,115.0,7.0,2.0,1.0,5.0,102.0,108.0,61.0,19.0,5.0,1.0,19.0,17.0,4.0,4.0,2.0,5.0,2.0,0.0,8.0,12.0,58.0,1.0,23.0,0.0,686.0
2004,9,21.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,3.0,61.0,77.0,106.0,20.0,93.0,3.0,26.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0
2004,10,0.0,0.0,0.0,0.0,41.0,29.0,24.0,52.0,36.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
2004,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2005,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,27.0
2005,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
2005,5,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,44.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0
2005,6,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,1.0,141.0,12.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,12.0,3.0,97.0,118.0,14.0,99.0,93.0,79.0,47.0,0.0,848.0
2005,7,77.0,34.0,57.0,91.0,35.0,24.0,0.0,0.0,2.0,32.0,39.0,5.0,0.0,10.0,4.0,0.0,2.0,12.0,2.0,8.0,12.0,5.0,1.0,0.0,0.0,17.0,10.0,8.0,40.0,12.0,69.0,608.0
2005,8,5.0,17.0,25.0,56.0,74.0,32.0,4.0,46.0,53.0,42.0,5.0,19.0,0.0,9.0,31.0,21.0,12.0,0.0,9.0,19.0,18.0,29.0,24.0,0.0,199.0,94.0,7.0,30.0,11.0,65.0,1.0,957.0
2005,9,5.0,10.0,71.0,6.0,0.0,0.0,20.0,3.0,0.0,16.0,4.0,4.0,6.0,0.0,0.0,17.0,20.0,1.0,0.0,10.0,71.0,1.0,1.0,12.0,59.0,1.0,1.0,0.0,1.0,2.0,0.0,342.0
2005,10,124.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,1.0,20.0,0.0,18.0,257.0
2005,11,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2005,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
