fid,fid_new1,fclass,name,maxspeed,length,combined_id_min,combined_id_max,DN_mean,time_needed (min)
"13423","13423",path,,"10","1.79633443543857","50394","50398","8","0.0107780066126314"
"13424","13424",path,,"10","11.663516020596","50397","50398","8","0.0699810961235761"
"13425","13425",path,,"10","3.24998560402198","50399","50400","7","0.0194999136241319"
"13426","13426",path,,"10","3.81140754921133","50400","50401","7.5","0.022868445295268"
"13427","13427",path,,"10","49.7437704320651","50404","50405","6.5","0.298462622592391"
"13428","13428",path,,"10","26.7226981279344","50409","50412","6.5","0.160336188767606"
"13429","13429",path,,"10","18.7219661359145","50412","50413","7","0.112331796815487"
"13430","13430",path,,"10","41.1316033990006","50413","50416","7","0.246789620394004"
"13431","13431",path,,"10","30.3546378331737","50119","50421","6","0.182127826999042"
"13432","13432",path,,"10","15.7031172920875","50421","50428","6.5","0.094218703752525"
"13433","13433",path,,"10","44.5817194904628","50425","50428","6.5","0.267490316942777"
"13434","13434",path,,"10","13.6714615112061","49313","49324","6","0.0820287690672365"
"13437","13437",path,,"10","4.10849055798924","50437","50439","7","0.0246509433479355"
"13441","13441",path,,"10","23.2465269127576","50456","51981","6.5","0.139479161476546"
"13442","13442",path,,"10","31.8854907805039","50456","50462","7","0.191312944683024"
"13443","13443",path,,"10","65.105831197224","46305","50462","6.5","0.390634987183344"
"13444","13444",path,,"10","15.2699790255152","46305","50469","6.5","0.0916198741530912"
"13445","13445",path,,"10","20.3309763045068","50469","50470","7.5","0.121985857827041"
"13446","13446",path,,"10","148.7843713078","48129","50473","6.5","0.892706227846799"
"13447","13447",path,,"10","41.6640547661632","48129","50481","6","0.249984328596979"
"13448","13448",path,,"10","5.88421248254234","50481","52059","6","0.035305274895254"
"13449","13449",path,,"10","40.7590618655382","50488","52059","6.5","0.244554371193229"
"13450","13450",track,,"10","39.2562279435807","45312","51920","6.5","0.235537367661484"
"13451","13451",path,,"10","22.5511587304986","50495","50511","7.333333","0.135306952382992"
"13452","13452",path,,"10","49.2686180141008","50497","50511","6.666667","0.295611708084605"
"13453","13453",path,,"10","25.0297456690567","50501","50505","6.5","0.15017847401434"
"13454","13454",path,,"10","24.1854909204006","45388","50505","7","0.145112945522403"
"13455","13455",path,,"10","27.6028341346152","45615","50511","7","0.165617004807691"
"13456","13456",path,,"10","31.9118086631266","50513","50517","6.5","0.19147085197876"
"13457","13457",residential,,"10","68.5769496574593","50517","50520","7.5","0.411461697944756"
"13458","13458",residential,,"10","84.3144952329112","47057","50520","6.5","0.505886971397467"
"13459","13459",path,,"10","25.4925199145212","50525","50526","7","0.152955119487127"
"13460","13460",residential,,"10","43.2913266810338","50527","50534","6.5","0.259747960086203"
"13461","13461",residential,,"10","167.088685887914","50517","50534","6.5","1.00253211532748"
"13462","13462",path,,"10","16.0276455301434","50526","50537","7.5","0.0961658731808606"
"13465","13465",path,,"10","55.9222592239554","50544",HF_265,"7","0.335533555343733"
"13466","13466",path,,"10","55.9222592239554","50545",HF_265,"6.5","0.335533555343733"
"13467","13467",path,,"10","75.4477385664447","50549","50553","7","0.452686431398668"
"13468","13468",path,,"10","36.0966836736063","50552","50553","7.5","0.216580102041638"
"13469","13469",path,,"10","124.388739639349","50557","50558","7.2","0.746332437836096"
"13470","13470",path,,"10","54.8358187393813","50559","50561","6","0.329014912436288"
"13471","13471",track,,"10","70.1617283533827","50563",HF_452,"7","0.420970370120296"
"13472","13472",track,,"10","70.1617283533827","50568",HF_452,"7","0.420970370120296"
"13473","13473",track,,"10","70.1617283533827","50568","50573","7","0.420970370120296"
"13474","13474",path,,"10","48.2016435806176","50571","50573","6.5","0.289209861483706"
"13475","13475",track,,"10","21.7201049238215","50575","50581","6","0.130320629542929"
