nodeID,xCoord,yCoord,isHealthcare,old_id,xCoord_proj,yCoord_proj
705,21.203701,92.168172,False,705,413664.6862730603,2344918.740462919
712,21.203259,92.168341,False,712,413681.97082143376,2344869.726000243
716,21.203023,92.168514,False,716,413699.79034483724,2344843.5102973115
720,21.203508,92.168884,False,720,413738.47642709746,2344896.9905192386
721,21.203583,92.168932,False,721,413743.50215954543,2344905.2656832268
724,21.203162,92.167125,False,724,413555.69891969726,2344859.652783984
725,21.203801,92.166595,False,725,413501.0593204089,2344930.669258624
735,21.205335,92.164225,False,735,413255.9604275058,2345101.7548682075
745,21.205202,92.165655,False,745,413404.30859624204,2345086.251353488
750,21.205432,92.165793,False,750,413418.76628523075,2345111.6332605896
753,21.205633,92.165935,False,753,413433.62220383756,2345133.8031531423
758,21.205804,92.165991,False,758,413439.534328728,2345152.699534083
760,21.205947,92.16627,False,760,413468.57612993044,2345168.3749063844
761,21.205983,92.166292,False,761,413470.8805666264,2345172.3475155584
797,21.206034,92.162663,False,797,413094.24284963077,2345179.979419435
805,21.205915,92.162708,False,805,413098.8439394139,2345166.783306102
809,21.205533,92.162695,False,809,413097.27110209095,2345124.5090711117
824,21.206746,92.163235,False,824,413154.02922989783,2345258.4728102423
829,21.206484,92.162915,False,829,413120.66211979307,2345229.6490564505
837,21.206628,92.163146,False,837,413144.72261993703,2345245.4608804
841,21.206802,92.162336,False,841,413060.75187062786,2345265.1643737354
844,21.206607,92.162434,False,844,413070.80946736614,2345243.5271546817
845,21.206929,92.162572,False,845,413085.32139806094,2345279.0917348955
848,21.206659,92.162654,False,848,413093.67443643545,2345249.1619945415
849,21.207318,92.160904,False,849,412912.42253199546,2345323.0642330246
857,21.207384,92.161747,False,857,412999.9586030911,2345329.9060550453
861,21.207549,92.161354,False,861,412959.2647248882,2345348.3849053257
877,21.206895,92.163194,False,877,413149.86084234086,2345274.9872415964
880,21.206967,92.162678,False,880,413096.3457069117,2345283.2395658046
893,21.206821,92.16241,False,893,413068.4436913464,2345267.226753058
908,21.20674,92.161638,False,908,412988.26786545315,2345258.6852823608
