roadID,node1,node2,node1_Xcoord,node1_Ycoord,node2_Xcoord,node2_Ycoord,DN_mean,length,isHealthcare1,isHealthcare2
16344,60031,60156,21.199751,92.145874,21.199776,92.145861,6.0,3.151,False,False
16347,60161,60165,21.199348,92.146818,21.199278,92.146225,6.5,62.259,False,False
16349,60168,60169,21.193885,92.140276,21.193873,92.140279,6.0,1.437,False,False
16350,56412,56415,21.193639,92.141571,21.193305,92.142042,7.0,65.674,False,False
16351,56412,60180,21.193639,92.141571,21.193789,92.141043,6.666667,57.586,False,False
16353,60180,60181,21.193789,92.141043,21.193732,92.140884,7.0,18.591,False,False
16358,60189,64096,21.193764,92.140161,21.193558,92.139636,6.5,111.655,False,True
16361,60189,60208,21.193764,92.140161,21.193789,92.140294,6.0,14.131,False,False
16362,60169,60208,21.193873,92.140279,21.193789,92.140294,6.0,9.337,False,False
16364,60213,60225,21.195274,92.139011,21.195298,92.138942,7.0,7.667,False,False
16365,60217,64096,21.195128,92.13933,21.194523,92.138439,6.666667,170.258,False,True
16366,60213,60217,21.195274,92.139011,21.195128,92.13933,7.0,38.164,False,False
16367,56632,60217,21.195033,92.139168,21.195128,92.13933,6.5,22.602,False,False
16368,60224,60229,21.195298,92.138566,21.195544,92.138456,7.5,30.009,False,False
16369,56637,60224,21.194862,92.138497,21.195298,92.138566,6.666667,49.994,False,False
16370,60225,60229,21.195298,92.138942,21.195544,92.138456,7.0,58.603,False,False
16372,55304,60233,21.192449,92.139378,21.19247,92.139368,7.0,2.538,False,False
16375,60237,60248,21.19235,92.139667,21.192446,92.139684,7.0,10.836,False,False
16376,55308,60249,21.192518,92.139435,21.192513,92.139452,7.0,1.847,False,False
16378,60248,60249,21.192446,92.139684,21.192513,92.139452,7.5,25.223,False,False
16379,55284,55309,21.192308,92.139535,21.192457,92.139394,7.0,24.985,False,False
16380,55296,60257,21.192858,92.138355,21.192883,92.138329,6.0,3.852,False,False
16381,60257,60259,21.192883,92.138329,21.192893,92.138313,6.0,1.99,False,False
16382,60259,60260,21.192893,92.138313,21.193,92.138214,6.0,15.887,False,False
16383,60260,60261,21.193,92.138214,21.193044,92.138199,6.0,5.426,False,False
