Landslide_ID,Latitude,Longitude,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred,intersects_buildings,GLG
252,21.201945,92.159916,6.528913464934628,6.608968506309932,6.710441948755598,1.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,12.0,459.0,0,0,H2O
253,21.200354,92.159683,8.713604899968344,8.793659941343648,8.895133397542624,2.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,9.662590026855469,459.0,0,0,H2O
254,21.200572,92.158797,8.672968483553737,8.753023524929038,8.85449698734659,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,9.833418846130373,459.0,0,1,H2O
255,21.201788,92.160457,6.65385219079183,7.623208969007594,7.724682441082902,1.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,11.070759773254396,459.0,0,0,H2O
257,21.200573,92.162316,6.051792231717158,6.131847273092464,6.233320725758888,1.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,13.0,459.0,0,0,H2O
258,21.200499,92.161636,6.051792231717158,7.454066552467674,7.555540031067126,2.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,13.0,459.0,0,1,H2O
261,21.20245,92.159977,6.339278468367474,6.42124058419111,6.524804420104004,1.0,4.0,1328.79541015625,1604.7974853515625,2036.9674072265625,14.0,459.0,0,1,H2O
292,21.20153,92.16264,6.896890244085738,6.976945285461042,7.078418752177594,1.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,14.0,459.0,0,0,H2O
488,21.189179,92.15714,6.051792231717158,6.131847273092464,6.233320725758888,1.0,7.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,371.0,0,0,H2O
511,21.18667,92.15698200000001,6.528913464934628,6.608968506309932,6.710441948755598,2.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,10.141519546508793,371.0,0,1,H2O
512,21.186835,92.156334,6.051792231717158,6.131847273092464,6.233320725758888,2.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,14.0,371.0,0,0,H2O
514,21.187191,92.1578,7.006034705319494,7.086089746694798,7.187563189376168,2.0,6.0,1370.8876953125,1648.37841796875,2082.238037109375,12.0,371.0,0,0,H2O
515,21.188908,92.158026,6.528913464934628,6.608968506309932,6.710441948755598,2.0,0.0,1370.8876953125,1648.37841796875,2082.238037109375,18.0,371.0,0,1,H2O
516,21.188414,92.157304,6.051792231717158,6.131847273092464,6.233320725758888,2.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,23.0,371.0,0,0,H2O
517,21.192791,92.160752,6.051792231717158,6.131847273092464,6.233320725758888,1.0,0.0,1370.8876953125,1648.37841796875,2082.238037109375,25.0,371.0,0,0,H2O
519,21.192041,92.157899,6.829943460598608,6.909998501973914,7.011471944419578,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,20.0,371.0,0,0,H2O
520,21.191158,92.158779,6.051792231717158,6.131847273092464,6.233320725758888,1.0,1.0,1370.8876953125,1648.37841796875,2082.238037109375,20.0,371.0,0,0,H2O
521,21.189646,92.162804,8.574236410015144,6.432877268756444,6.53435072142287,2.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,6.0,371.0,0,0,H2O
522,21.190194,92.15816,8.289838335964566,8.369893377339872,8.4713668257704,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,16.10007095336914,371.0,0,1,H2O
523,21.188288,92.159813,6.35282222738114,6.432877268756444,6.53435072142287,1.0,7.0,1370.8876953125,1648.37841796875,2082.238037109375,15.0,371.0,0,1,H2O
531,21.19084,92.157428,8.043018306093193,8.123073347468498,8.224546818931376,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,16.291627883911133,371.0,0,0,H2O
532,21.193666,92.16011,6.051792231717158,6.131847273092464,6.233320725758888,1.0,6.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,371.0,0,0,H2O
533,21.192419,92.159454,6.35282222738114,6.131847273092464,6.233320725758888,2.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,18.0,371.0,0,1,H2O
534,21.192034,92.159219,6.35282222738114,6.432877268756444,6.53435072142287,1.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,16.0,371.0,0,1,H2O
535,21.192682,92.160572,6.051792231717158,6.131847273092464,6.233320725758888,2.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,25.0,371.0,0,1,H2O
536,21.192132,92.161782,6.528913464934628,6.608968506309932,6.710441948755598,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,15.0,371.0,0,0,H2O
537,21.189804,92.161127,6.829943460598608,6.909998501973914,7.011471944419578,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,8.25017261505127,371.0,0,0,H2O
538,21.19072,92.159457,6.65385219079183,6.432877268756444,6.53435072142287,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,11.0,371.0,0,0,H2O
539,21.191952,92.158736,7.991311479145592,8.0713665205209,8.172839953947186,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,15.120794296264648,371.0,0,1,H2O
540,21.190631,92.156863,7.992490986443256,6.7222705476018,6.825834383340004,1.0,2.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.391698837280273,371.0,0,0,H2O
541,21.190329,92.156635,6.640308431778164,6.7222705476018,6.825834383340004,2.0,2.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.400283813476562,371.0,0,1,H2O
542,21.190231,92.157836,6.65385219079183,6.733907232167136,6.835380685363898,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,16.15010643005371,371.0,0,1,H2O
543,21.189747,92.159484,6.829943460598608,6.909998501973914,7.011471944419578,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,11.0,371.0,0,1,H2O
544,21.190363,92.15998200000001,6.35282222738114,6.432877268756444,6.53435072142287,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,10.100069046020508,371.0,0,1,H2O
545,21.190182,92.160914,6.653852223045122,8.566416142976118,8.667889590605908,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,8.341657638549806,371.0,0,0,H2O
546,21.189243,92.161168,6.528913464934628,6.608968506309932,6.710441948755598,2.0,1.0,1370.8876953125,1648.37841796875,2082.238037109375,8.291623115539554,371.0,0,1,H2O
547,21.187992,92.158868,6.051792231717158,6.733907264420426,6.83538071708685,1.0,0.0,1370.8876953125,1648.37841796875,2082.238037109375,14.070759773254396,371.0,0,0,H2O
548,21.188987,92.161353,6.528913464934628,6.608968506309932,6.710441948755598,2.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,8.2415885925293,371.0,0,1,H2O
549,21.187715,92.160857,6.528913464934628,6.733907232167136,6.835380685363898,1.0,1.0,1370.8876953125,1648.37841796875,2082.238037109375,11.0,371.0,0,1,H2O
550,21.185884,92.158593,6.528913464934628,6.608968506309932,6.710441948755598,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,6.070760250091554,371.0,0,0,H2O
551,21.187701,92.161644,6.051792231717158,6.131847273092464,6.233320725758888,1.0,1.0,1370.8876953125,1648.37841796875,2082.238037109375,10.0,371.0,0,0,H2O
552,21.187812,92.159213,6.051792231717158,6.131847273092464,6.233320725758888,1.0,0.0,1370.8876953125,1648.37841796875,2082.238037109375,15.0,371.0,0,0,H2O
553,21.186529,92.160105,6.750762223151862,6.909998501973914,7.011471944419578,2.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,10.0,371.0,0,0,H2O
559,21.198543,92.158675,6.35282222738114,6.432877268756444,6.53435072142287,1.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,20.0,459.0,0,1,H2O
575,21.197909,92.1602,6.35282222738114,6.131847273092464,6.233320725758888,1.0,7.0,1370.8876953125,1648.37841796875,2082.238037109375,23.0,459.0,0,0,H2O
577,21.20014,92.159717,7.664576049103612,7.744631090478918,7.846104535281058,2.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,9.641864776611328,459.0,0,0,H2O
578,21.199582,92.158557,6.051792231717158,6.131847273092464,6.233320725758888,2.0,0.0,1370.8876953125,1648.37841796875,2082.238037109375,18.0,459.0,0,0,H2O
579,21.197714,92.15952,6.35282222738114,6.432877268756444,6.53435072142287,2.0,7.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,459.0,0,1,H2O
591,21.194943,92.161638,6.051792231717158,6.131847273092464,6.233320725758888,1.0,7.0,1370.8876953125,1648.37841796875,2082.238037109375,24.0,459.0,0,0,H2O
592,21.198045,92.16183400000001,6.528913464934628,6.608968506309932,6.710441948755598,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,19.0,459.0,0,0,H2O
593,21.193349,92.165187,6.051792231717158,6.131847273092464,6.233320725758888,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,11.0,459.0,0,0,H2O
