Landslide_,Latitude,Longitude,Flow_accum,Flow_acc_1,Flow_acc_2,Slope_clas,Flow_direc,Runoff_10y,Runoff_20y,Runoff_50y,Fill_sinks,Basins,Landslid_1,intersects,GLG
"81",21.188969000000000,92.153565000000000,6.038248472703492,6.120210588527130,6.223774424440022,2.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,29.000000000000000,371.000000000000000,"1","0",QTg
"82",21.188928000000001,92.155889999999999,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,23.000000000000000,371.000000000000000,"1","0",QTg
"83",21.189413999999999,92.154804999999996,6.515369705920962,6.597331821744598,6.700895646731704,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,24.000000000000000,371.000000000000000,"1","0",QTg
"84",21.189903000000001,92.154987000000006,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,27.000000000000000,371.000000000000000,"1","1",QTg
"85",21.190152000000001,92.155039000000002,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,26.000000000000000,371.000000000000000,"1","0",QTg
"86",21.187066000000002,92.152564999999996,6.515369705920962,6.722270547601800,6.825834383340004,1.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,371.000000000000000,"1","0",QTg
"87",21.186741000000001,92.153447000000000,6.339278468367474,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,371.000000000000000,"1","0",QTg
"88",21.187277000000002,92.155118000000002,6.515369705920962,6.597331821744598,6.700895646731704,2.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,371.000000000000000,"1","0",QTg
"101",21.205266999999999,92.151180999999994,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,1.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.000000000000000,767.000000000000000,"1","0",QTg
"102",21.205371000000000,92.152755999999997,6.515369705920962,6.421240584191110,6.524804420104004,1.000000000000000,1.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.000000000000000,767.000000000000000,"1","1",QTg
"103",21.205483999999998,92.153358999999995,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,12.250172615051270,767.000000000000000,"1","0",QTg
"106",21.194538000000001,92.151599000000004,6.038248472703492,6.421240584191110,6.524804420104004,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,459.000000000000000,"1","0",QTg
"107",21.194354000000001,92.151664999999994,6.515369705920962,6.597331821744598,6.700895646731704,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.000000000000000,459.000000000000000,"1","0",QTg
"108",21.194675000000000,92.152501999999998,7.117429697248924,7.199391813072560,8.093006132777386,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.712636947631836,459.000000000000000,"1","0",QTg
"109",21.195246000000001,92.153204000000002,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.000000000000000,459.000000000000000,"1","0",QTg
"110",21.196417000000000,92.152975999999995,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.000000000000000,459.000000000000000,"1","0",QTg
"111",21.194413999999998,92.151099000000002,6.515369705920962,6.597331821744598,6.700895646731704,1.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,459.000000000000000,"1","1",QTg
"112",21.195442000000000,92.150111999999993,6.339278468367474,6.898361817408580,7.001925642395684,2.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,459.000000000000000,"1","0",QTg
"113",21.192208000000001,92.151077000000001,7.214339736059612,7.296301851883250,7.399865702952492,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.220867156982411,371.000000000000000,"1","0",QTg
"114",21.192208000000001,92.151077000000001,7.214339736059612,7.296301851883250,7.399865702952492,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.220867156982411,371.000000000000000,"1","0",QTg
"115",21.192943000000000,92.150702999999993,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,25.000000000000000,371.000000000000000,"1","0",QTg
"116",21.195442000000000,92.150111999999993,6.339278468367474,6.898361817408580,7.001925642395684,2.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,459.000000000000000,"1","0",QTg
"117",21.192943000000000,92.150702999999993,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,25.000000000000000,371.000000000000000,"1","0",QTg
"128",21.204435000000000,92.158664000000002,6.640308431778164,6.722270547601800,6.825834383340004,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.000000000000000,459.000000000000000,"1","0",QTg
"129",21.205708000000001,92.158642000000000,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.000000000000000,767.000000000000000,"1","1",QTg
"130",21.205794000000001,92.158518999999998,6.038248472703492,6.421240584191110,6.700895646731704,2.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.000000000000000,767.000000000000000,"1","0",QTg
"131",21.205791000000001,92.157495999999995,6.737218464138196,7.023300575519072,7.265167100754252,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.000000000000000,767.000000000000000,"1","1",QTg
"132",21.202148999999999,92.156555999999995,6.038248472703492,6.120210588527130,6.223774424440022,2.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.000000000000000,459.000000000000000,"1","0",QTg
"133",21.205537000000000,92.158805999999998,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,22.000000000000000,767.000000000000000,"1","0",QTg
"134",21.205842000000001,92.161959999999993,6.339278468367474,7.296301817479740,7.502528006618758,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.000000000000000,767.000000000000000,"1","0",QTg
"135",21.206855999999998,92.161131999999995,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.000000000000000,767.000000000000000,"1","1",QTg
"136",21.207509000000002,92.162364999999994,7.117429697248924,7.199391813072560,7.302955638059666,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,14.000000000000000,767.000000000000000,"1","0",QTg
"137",21.205632999999999,92.159085000000005,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,22.000000000000000,767.000000000000000,"1","0",QTg
"138",21.210141000000000,92.166011999999995,6.941338459695436,7.023300575519072,7.126864411431966,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,14.250172615051270,611.000000000000000,"1","0",QTg
"139",21.209284000000000,92.153655999999998,6.038248472703492,7.199391813072560,7.302955638059666,2.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,12.000000000000000,767.000000000000000,"1","0",QTg
"140",21.210113000000000,92.154306000000005,6.992490946305828,7.074453062129464,7.178016901451366,2.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.000000000000000,767.000000000000000,"1","0",QTg
"141",21.209492000000001,92.153830999999997,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.000000000000000,767.000000000000000,"1","0",QTg
"142",21.208065000000001,92.154184999999998,6.339278468367474,6.421240584191110,6.524804420104004,2.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,14.000000000000000,767.000000000000000,"1","0",QTg
"143",21.209593999999999,92.158242000000001,6.737218464138196,6.819180579961832,6.524804420104004,2.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,767.000000000000000,"1","0",QTg
"144",21.207136999999999,92.159943999999996,6.816399701584942,6.898361817408580,7.001925642395684,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.095732688903809,767.000000000000000,"1","0",QTg
"145",21.206541000000001,92.158440999999996,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,12.754075050354004,767.000000000000000,"1","0",QTg
"146",21.206970999999999,92.156930000000003,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.000000000000000,767.000000000000000,"1","1",QTg
"147",21.212741999999999,92.156004999999993,6.515369705920962,6.597331821744598,6.700895646731704,2.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.000000000000000,767.000000000000000,"1","0",QTg
"148",21.211901000000001,92.155645000000007,6.038248472703492,6.421240584191110,6.524804420104004,2.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.333078384399414,767.000000000000000,"1","0",QTg
"149",21.211478000000000,92.155441999999994,6.339278468367474,6.421240584191110,6.524804420104004,2.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,767.000000000000000,"1","0",QTg
"150",21.211392000000000,92.155212000000006,6.640308464031454,6.722270579855092,6.825834415767984,2.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.212282180786133,767.000000000000000,"1","0",QTg
"151",21.211016000000001,92.152350999999996,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.000000000000000,767.000000000000000,"1","1",QTg
"154",21.203997999999999,92.156424000000001,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.000000000000000,767.000000000000000,"0","0",QTg
"155",21.208900000000000,92.159811000000005,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,767.000000000000000,"0","0",QTg
"156",21.208877000000001,92.154364999999999,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,767.000000000000000,"0","1",QTg
"159",21.206454999999998,92.163258999999996,6.640308464031454,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,767.000000000000000,"0","0",QTg
"160",21.203631999999999,92.163250000000005,7.242368423106126,7.324330538929764,7.427894374667966,1.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.241588592529297,459.000000000000000,"0","0",QTg
"161",21.207425000000001,92.156994999999995,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.000000000000000,767.000000000000000,"0","0",QTg
"162",21.209581000000000,92.161679000000007,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.000000000000000,767.000000000000000,"0","0",QTg
"163",21.205645000000001,92.159683999999999,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,767.000000000000000,"0","1",QTg
